TARGET,CODE_GENDER,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,DAYS_BIRTH,DAYS_EMPLOYED
0,M,1,765000.0,675000.0,36616.5,Working,Higher education,-13478,-5494
0,F,0,90000.0,202500.0,10125.0,Pensioner,Secondary / secondary special,-19548,365243
0,M,0,270000.0,1350000.0,39604.5,Commercial associate,Incomplete higher,-13801,-669
0,M,0,180000.0,1053000.0,30919.5,Commercial associate,Secondary / secondary special,-14512,-2474
0,F,0,157500.0,545040.0,25407.0,Commercial associate,Higher education,-8462,-171
0,F,0,99000.0,127350.0,6597.0,Pensioner,Secondary / secondary special,-19106,365243
0,F,0,247500.0,630000.0,31500.0,Commercial associate,Secondary / secondary special,-15466,-1871
0,M,0,135000.0,540000.0,42795.0,Working,Secondary / secondary special,-10529,-549
0,F,2,112500.0,1256400.0,36864.0,Working,Secondary / secondary special,-12275,-2348
0,M,0,144000.0,639396.0,30888.0,Working,Higher education,-8604,-1277
0,M,0,225000.0,1594395.0,52690.5,Working,Higher education,-11066,-917
0,F,0,189000.0,219042.0,21469.5,Pensioner,Secondary / secondary special,-21321,365243
1,F,0,112500.0,630000.0,32296.5,Working,Secondary / secondary special,-22211,-4563
0,F,2,135000.0,1323000.0,38812.5,Working,Secondary / secondary special,-13815,-465
0,F,0,135000.0,792346.5,26185.5,Working,Secondary / secondary special,-15439,-2323
0,M,0,315000.0,720000.0,23796.0,Commercial associate,Higher education,-22947,-5085
0,F,0,121500.0,225000.0,11250.0,Commercial associate,Secondary / secondary special,-18641,-6682
0,F,0,112500.0,180000.0,9000.0,Commercial associate,Higher education,-9070,-469
1,M,0,63000.0,426645.0,22468.5,Commercial associate,Secondary / secondary special,-12209,-1572
0,F,0,135000.0,526491.0,33777.0,Working,Secondary / secondary special,-14323,-3176
0,M,2,126000.0,900000.0,32017.5,Working,Secondary / secondary special,-13021,-2740
0,F,2,112500.0,573628.5,24435.0,State servant,Higher education,-13525,-5070
0,F,0,180000.0,728460.0,57555.0,Working,Secondary / secondary special,-13208,-4927
0,M,0,180000.0,437076.0,35172.0,Working,Secondary / secondary special,-11445,-428
0,F,0,135000.0,432661.5,16164.0,Pensioner,Secondary / secondary special,-22191,365243
0,F,1,67500.0,202500.0,10125.0,Working,Higher education,-15385,-3524
0,F,1,81000.0,94230.0,5823.0,Working,Secondary / secondary special,-12205,-1935
0,F,0,90000.0,247500.0,12375.0,Working,Higher education,-14267,-1170
0,F,1,90000.0,566055.0,22063.5,Working,Secondary / secondary special,-11251,-1947
0,M,0,180000.0,1185120.0,39298.5,Working,Higher education,-9997,-451
1,M,0,144000.0,1006920.0,46791.0,Commercial associate,Secondary / secondary special,-10688,-622
0,M,0,202500.0,1546020.0,45333.0,Working,Incomplete higher,-18328,-1556
0,F,0,157500.0,427500.0,21825.0,Pensioner,Secondary / secondary special,-22748,365243
0,F,0,135000.0,675000.0,24246.0,Working,Secondary / secondary special,-15414,-2359
1,F,0,292500.0,1800000.0,47614.5,Commercial associate,Secondary / secondary special,-22754,-438
0,M,2,450000.0,1125000.0,106816.5,Commercial associate,Higher education,-15274,-995
0,M,0,108000.0,474048.0,24948.0,Working,Lower secondary,-15134,-3506
0,F,0,171000.0,526500.0,23319.0,Commercial associate,Secondary / secondary special,-13169,-3164
0,F,0,105120.0,1125000.0,32895.0,State servant,Secondary / secondary special,-23674,-741
1,M,1,180000.0,745429.5,40567.5,Working,Secondary / secondary special,-16922,-5015
0,F,0,225000.0,668304.0,26631.0,Working,Secondary / secondary special,-19915,-357
0,F,0,270000.0,640080.0,29970.0,Commercial associate,Incomplete higher,-9247,-2530
0,F,0,112500.0,1288350.0,37800.0,Working,Secondary / secondary special,-19427,-679
0,M,1,180000.0,521280.0,31630.5,Working,Secondary / secondary special,-19359,-2577
0,F,0,135000.0,254700.0,24939.0,Commercial associate,Secondary / secondary special,-16987,-2562
0,F,0,135000.0,552555.0,30982.5,Working,Higher education,-13240,-2048
0,F,1,135000.0,450000.0,35338.5,Working,Higher education,-9971,-684
0,F,0,135000.0,275040.0,13374.0,Commercial associate,Higher education,-12224,-1285
0,F,1,315000.0,622413.0,25479.0,Working,Secondary / secondary special,-19405,-665
0,F,1,180000.0,790830.0,57546.0,Commercial associate,Higher education,-11686,-1363
0,F,0,270000.0,781920.0,25411.5,Working,Higher education,-16171,-2212
0,F,0,135000.0,225000.0,11250.0,Working,Secondary / secondary special,-16188,-797
0,F,0,90000.0,717003.0,23260.5,Pensioner,Secondary / secondary special,-20833,365243
0,F,0,202500.0,135000.0,6750.0,Pensioner,Secondary / secondary special,-22333,365243
1,M,0,135000.0,414792.0,21847.5,Working,Secondary / secondary special,-13299,-125
1,F,0,157500.0,521280.0,31630.5,Working,Secondary / secondary special,-18772,-2954
0,F,0,225000.0,1019610.0,33826.5,Pensioner,Secondary / secondary special,-21535,365243
1,F,0,337500.0,1123443.0,32976.0,Working,Secondary / secondary special,-17262,-1750
1,F,1,90000.0,225000.0,15034.5,Working,Secondary / secondary special,-10559,-317
0,M,2,360000.0,682875.0,36513.0,Commercial associate,Higher education,-20974,-2143
0,M,0,315000.0,598486.5,21627.0,Commercial associate,Incomplete higher,-13071,-2141
0,F,0,90000.0,143910.0,14364.0,Working,Secondary / secondary special,-9312,-1356
0,F,0,67500.0,229230.0,12928.5,Working,Secondary / secondary special,-13940,-1970
0,F,6,112500.0,942300.0,30528.0,Working,Lower secondary,-15732,-1580
0,M,0,112500.0,254700.0,17149.5,Working,Secondary / secondary special,-13162,-4662
1,F,0,258750.0,315666.0,22576.5,Pensioner,Secondary / secondary special,-21256,365243
0,M,0,112500.0,234324.0,15786.0,Commercial associate,Higher education,-9390,-773
0,F,1,90000.0,101880.0,10827.0,Working,Secondary / secondary special,-11663,-845
0,F,0,216000.0,568908.0,25186.5,Pensioner,Secondary / secondary special,-21466,365243
0,F,1,54000.0,723996.0,28840.5,Working,Secondary / secondary special,-17790,-9912
0,M,0,157500.0,1762110.0,48586.5,Commercial associate,Secondary / secondary special,-18035,-859
0,F,0,112500.0,238500.0,23233.5,Pensioner,Secondary / secondary special,-22096,365243
0,F,0,135000.0,1061599.5,31171.5,Pensioner,Higher education,-21654,365243
0,F,1,270000.0,1575000.0,43312.5,Working,Higher education,-13561,-396
0,F,0,225000.0,450000.0,21649.5,Pensioner,Secondary / secondary special,-22939,365243
0,F,0,49500.0,180000.0,9000.0,Working,Incomplete higher,-10894,-365
0,F,0,117000.0,274500.0,14143.5,Working,Secondary / secondary special,-19402,-457
0,F,0,157500.0,313438.5,31131.0,Working,Higher education,-14838,-4973
0,F,0,225000.0,490495.5,45990.0,Pensioner,Secondary / secondary special,-21348,365243
0,F,0,112500.0,270000.0,13500.0,State servant,Secondary / secondary special,-11338,-1406
0,F,0,306000.0,855000.0,30838.5,Working,Secondary / secondary special,-20774,-5955
1,M,2,157500.0,732834.0,46962.0,Working,Secondary / secondary special,-12518,-1135
0,F,0,189000.0,450000.0,50904.0,Working,Secondary / secondary special,-10894,-2365
0,F,1,135000.0,536917.5,30109.5,State servant,Higher education,-11630,-712
0,M,0,180000.0,450000.0,22500.0,Working,Secondary / secondary special,-17340,-316
0,M,0,270000.0,729792.0,22914.0,Working,Secondary / secondary special,-20836,-3622
0,F,1,225000.0,1078200.0,38200.5,Working,Secondary / secondary special,-14206,-4944
0,M,0,270000.0,475159.5,24390.0,Working,Secondary / secondary special,-8426,-203
0,M,0,72000.0,225000.0,17905.5,Working,Higher education,-13224,-137
0,F,0,81000.0,834048.0,27562.5,Working,Secondary / secondary special,-12433,-1969
0,F,0,112500.0,534141.0,20263.5,Working,Secondary / secondary special,-18134,-1317
0,F,1,270000.0,675000.0,53460.0,Working,Secondary / secondary special,-14035,-1627
0,F,0,270000.0,485640.0,41674.5,Working,Secondary / secondary special,-11893,-1399
1,F,0,180000.0,296280.0,16069.5,Commercial associate,Higher education,-11675,-267
0,F,1,225000.0,152820.0,16344.0,Working,Secondary / secondary special,-15201,-2347
0,F,0,67500.0,270000.0,13500.0,Working,Secondary / secondary special,-17582,-8309
0,F,0,112500.0,508495.5,20295.0,Pensioner,Secondary / secondary special,-20899,365243
0,F,0,270000.0,1809000.0,69034.5,Working,Higher education,-14967,-7512
1,F,0,225000.0,942300.0,27679.5,Commercial associate,Secondary / secondary special,-17417,-3922
0,M,0,135000.0,1288350.0,37800.0,Pensioner,Secondary / secondary special,-22733,365243
0,F,0,157500.0,545040.0,39627.0,Working,Lower secondary,-8824,-2181
0,F,0,99000.0,571500.0,25303.5,Pensioner,Secondary / secondary special,-21657,365243
0,M,0,225000.0,1288350.0,41692.5,Working,Higher education,-17803,-469
1,F,0,180000.0,808650.0,31464.0,Commercial associate,Secondary / secondary special,-19490,-1350
0,F,0,180000.0,2013840.0,53122.5,Pensioner,Secondary / secondary special,-20935,365243
0,F,0,67500.0,646920.0,18670.5,Pensioner,Secondary / secondary special,-23026,365243
0,M,1,171000.0,1078200.0,31653.0,Working,Higher education,-15905,-4199
0,F,0,157500.0,1223010.0,48627.0,Pensioner,Secondary / secondary special,-22523,365243
0,M,0,225000.0,1223010.0,51948.0,State servant,Higher education,-14682,-6744
0,F,0,135000.0,270000.0,13500.0,Commercial associate,Higher education,-13279,-565
0,F,0,112500.0,584766.0,25888.5,Pensioner,Higher education,-23631,365243
0,F,0,135000.0,545040.0,28350.0,Commercial associate,Higher education,-9515,-1780
0,M,0,157500.0,95940.0,10953.0,Working,Secondary / secondary special,-8868,-878
1,M,0,225000.0,640080.0,29970.0,Working,Secondary / secondary special,-19846,-681
0,M,1,90000.0,270000.0,13500.0,Pensioner,Secondary / secondary special,-18731,365243
0,M,0,112500.0,432220.5,32314.5,Working,Secondary / secondary special,-10312,-1412
0,F,2,225000.0,263686.5,19237.5,State servant,Higher education,-12402,-666
0,F,1,117000.0,412560.0,11475.0,Working,Secondary / secondary special,-11887,-317
0,F,0,180000.0,841500.0,43096.5,Commercial associate,Secondary / secondary special,-16103,-1460
0,F,0,132750.0,398016.0,22977.0,Working,Secondary / secondary special,-16122,-4282
1,F,0,85500.0,1288350.0,37800.0,Pensioner,Higher education,-23167,365243
0,M,2,360000.0,900000.0,48825.0,Working,Secondary / secondary special,-14204,-1575
0,F,0,234000.0,269550.0,9985.5,State servant,Higher education,-9833,-798
0,F,0,135000.0,450000.0,11871.0,Commercial associate,Higher education,-10055,-1845
0,M,1,135000.0,405000.0,20250.0,Commercial associate,Secondary / secondary special,-14819,-5272
0,F,0,202500.0,675000.0,28597.5,Pensioner,Secondary / secondary special,-22307,365243
0,F,1,247500.0,755190.0,30078.0,Working,Secondary / secondary special,-15093,-8307
0,F,0,153000.0,562491.0,27189.0,Pensioner,Secondary / secondary special,-21172,365243
0,F,0,180000.0,508495.5,22396.5,Working,Secondary / secondary special,-23007,-11589
1,F,0,157950.0,675000.0,23202.0,Pensioner,Secondary / secondary special,-21912,365243
0,F,1,135000.0,315000.0,22531.5,Working,Secondary / secondary special,-9578,-2778
0,M,1,112500.0,517500.0,21883.5,Working,Secondary / secondary special,-20303,-4006
1,F,0,54000.0,225000.0,10953.0,Pensioner,Secondary / secondary special,-22770,365243
0,F,0,94500.0,301500.0,21114.0,Working,Secondary / secondary special,-19243,-109
0,F,1,135000.0,545040.0,26640.0,Working,Secondary / secondary special,-14204,-621
0,F,0,112500.0,485190.0,24903.0,Working,Higher education,-10173,-1910
0,F,0,202500.0,648000.0,20902.5,Working,Secondary / secondary special,-17640,-4632
0,M,0,135000.0,50940.0,5346.0,Commercial associate,Secondary / secondary special,-14386,-2167
0,F,0,270000.0,837000.0,44595.0,Commercial associate,Higher education,-18317,-3065
0,M,2,270000.0,1125000.0,33025.5,Commercial associate,Secondary / secondary special,-14041,-2303
0,F,1,202500.0,343800.0,10921.5,State servant,Higher education,-13898,-1198
0,F,1,157500.0,1099773.0,55998.0,Working,Secondary / secondary special,-13123,-1524
1,F,0,81000.0,182983.5,13009.5,Pensioner,Incomplete higher,-23948,365243
0,M,0,180000.0,1078200.0,28570.5,Commercial associate,Higher education,-10254,-1430
0,M,0,144000.0,450000.0,22500.0,Pensioner,Secondary / secondary special,-22558,365243
0,F,2,270000.0,288873.0,16713.0,Commercial associate,Secondary / secondary special,-12193,-1874
0,F,0,49500.0,755190.0,36459.0,Pensioner,Secondary / secondary special,-18108,365243
0,F,0,81000.0,526491.0,17527.5,Working,Secondary / secondary special,-17755,-943
0,F,0,112500.0,538704.0,27634.5,Pensioner,Secondary / secondary special,-20453,365243
0,F,0,103500.0,436032.0,24475.5,Pensioner,Secondary / secondary special,-20150,365243
1,M,0,234000.0,384048.0,18810.0,Commercial associate,Secondary / secondary special,-13690,-4139
0,M,2,225000.0,675000.0,49248.0,Working,Higher education,-13456,-992
0,M,2,180000.0,1339884.0,43353.0,Working,Higher education,-18416,-5182
1,F,2,157500.0,545040.0,26509.5,Working,Higher education,-11694,-1127
1,M,0,585000.0,1096020.0,56092.5,Pensioner,Secondary / secondary special,-15223,365243
0,F,1,315000.0,1350000.0,67500.0,Commercial associate,Higher education,-16346,-4630
0,M,0,292500.0,1258650.0,53455.5,Working,Secondary / secondary special,-14653,-441
0,F,0,225000.0,552555.0,33934.5,Working,Higher education,-16159,-2088
0,F,0,202500.0,1125000.0,36423.0,Working,Secondary / secondary special,-13411,-3050
0,F,0,135000.0,1350000.0,67500.0,Pensioner,Higher education,-20675,365243
0,F,1,117000.0,670500.0,27436.5,Commercial associate,Secondary / secondary special,-14143,-395
0,F,1,225000.0,373500.0,9981.0,Working,Higher education,-15680,-1916
0,F,0,135000.0,270000.0,13500.0,Pensioner,Secondary / secondary special,-16991,365243
0,F,0,504000.0,1354500.0,56029.5,Commercial associate,Secondary / secondary special,-16605,-5936
0,F,0,202500.0,67500.0,4522.5,Pensioner,Secondary / secondary special,-19200,365243
0,F,0,90000.0,284400.0,16011.0,Pensioner,Secondary / secondary special,-24161,365243
0,M,0,337500.0,283419.0,16267.5,Working,Secondary / secondary special,-14496,-2166
0,M,0,360000.0,679500.0,30834.0,Commercial associate,Secondary / secondary special,-14971,-4105
0,F,0,81000.0,247500.0,12766.5,Working,Secondary / secondary special,-15825,-89
0,F,1,135000.0,178290.0,19332.0,Working,Secondary / secondary special,-10352,-1052
0,F,0,90000.0,182448.0,19287.0,Pensioner,Secondary / secondary special,-22706,365243
0,M,0,225000.0,1113399.0,47304.0,Working,Secondary / secondary special,-14172,-3087
0,F,1,225000.0,1006920.0,51543.0,Working,Secondary / secondary special,-16801,-177
0,M,2,225000.0,540000.0,26109.0,Working,Secondary / secondary special,-11942,-4588
0,M,1,171000.0,294322.5,17023.5,Commercial associate,Secondary / secondary special,-11606,-1211
0,F,2,67500.0,144486.0,9774.0,Working,Secondary / secondary special,-13776,-747
1,F,1,112500.0,460858.5,22545.0,Working,Secondary / secondary special,-11762,-4589
0,F,2,90000.0,225000.0,22837.5,Commercial associate,Secondary / secondary special,-12094,-553
0,M,0,270000.0,1800000.0,62698.5,Commercial associate,Higher education,-18893,-1788
0,F,0,135000.0,755190.0,36328.5,Working,Secondary / secondary special,-16298,-175
0,M,1,225000.0,592560.0,35937.0,Commercial associate,Secondary / secondary special,-10335,-242
0,F,0,81000.0,135000.0,8766.0,Pensioner,Secondary / secondary special,-17939,365243
0,F,0,67500.0,521280.0,25209.0,Pensioner,Secondary / secondary special,-20471,365243
0,M,1,315000.0,1509948.0,44280.0,Working,Secondary / secondary special,-15811,-2755
0,F,0,225000.0,801000.0,23548.5,Working,Secondary / secondary special,-15250,-2141
0,M,0,225000.0,521280.0,21231.0,Working,Higher education,-15246,-2395
0,F,0,94500.0,256500.0,13225.5,Working,Secondary / secondary special,-18013,-9957
0,M,0,112500.0,180000.0,9000.0,Commercial associate,Secondary / secondary special,-14290,-847
0,M,0,270000.0,462195.0,18216.0,Working,Secondary / secondary special,-16536,-4523
0,F,0,90000.0,808650.0,26086.5,Working,Secondary / secondary special,-20512,-1359
0,F,0,225000.0,278712.0,18756.0,Working,Secondary / secondary special,-13591,-3336
0,M,0,202500.0,450000.0,24543.0,Commercial associate,Higher education,-18130,-3123
0,F,1,148500.0,292500.0,14625.0,Commercial associate,Secondary / secondary special,-11585,-1154
0,F,0,225000.0,472500.0,13945.5,Working,Secondary / secondary special,-18975,-5614
0,F,0,148500.0,495000.0,25402.5,Pensioner,Secondary / secondary special,-20428,365243
0,F,0,135000.0,1225008.0,44131.5,Pensioner,Secondary / secondary special,-21377,365243
0,F,0,90000.0,172021.5,18193.5,Pensioner,Secondary / secondary special,-20480,365243
0,M,0,202500.0,1057266.0,43191.0,Commercial associate,Secondary / secondary special,-14369,-1379
0,F,0,225000.0,237024.0,18724.5,Commercial associate,Higher education,-15683,-415
0,F,1,247500.0,720000.0,36000.0,Commercial associate,Secondary / secondary special,-16182,-1065
0,F,0,225000.0,1569051.0,49396.5,Working,Secondary / secondary special,-17399,-7860
0,F,0,90000.0,628069.5,34200.0,Working,Secondary / secondary special,-16838,-1661
0,M,0,126000.0,526491.0,32337.0,Working,Lower secondary,-15550,-567
0,F,1,157500.0,112500.0,11943.0,Working,Higher education,-10699,-176
0,F,0,247500.0,913500.0,24228.0,Commercial associate,Higher education,-12434,-699
0,F,0,94500.0,755190.0,29547.0,Pensioner,Secondary / secondary special,-22130,365243
0,F,0,144000.0,270000.0,13500.0,Working,Higher education,-16607,-2478
0,F,0,135000.0,876019.5,33498.0,Working,Secondary / secondary special,-18269,-2482
0,F,0,135000.0,248760.0,26118.0,Pensioner,Secondary / secondary special,-22081,365243
0,M,0,144000.0,247275.0,17208.0,State servant,Secondary / secondary special,-20823,-8644
0,F,0,90000.0,135000.0,10795.5,Working,Secondary / secondary special,-15846,-9075
0,M,0,135000.0,640080.0,31261.5,Commercial associate,Secondary / secondary special,-18829,-1480
1,F,1,171000.0,900000.0,26446.5,Working,Higher education,-10058,-1555
0,M,0,157500.0,755190.0,36459.0,Working,Secondary / secondary special,-17137,-2556
0,M,1,180000.0,983299.5,41791.5,Working,Higher education,-12074,-3224
0,F,0,157500.0,422892.0,24408.0,Pensioner,Secondary / secondary special,-21989,365243
0,M,1,90000.0,238500.0,7488.0,Commercial associate,Secondary / secondary special,-10012,-910
0,F,1,126000.0,521280.0,20524.5,Working,Higher education,-8416,-256
0,M,3,315000.0,473760.0,49747.5,Working,Secondary / secondary special,-15657,-2805
0,F,1,270000.0,1288350.0,37800.0,Commercial associate,Secondary / secondary special,-13318,-2846
0,F,0,337500.0,524493.0,32215.5,Commercial associate,Higher education,-17581,-9898
0,M,1,135000.0,450000.0,20979.0,Working,Secondary / secondary special,-11853,-2284
0,F,0,72000.0,104256.0,11074.5,Pensioner,Secondary / secondary special,-19890,365243
0,F,0,135000.0,225000.0,11250.0,Working,Secondary / secondary special,-19930,-3291
0,M,0,360000.0,450000.0,30204.0,Working,Higher education,-17686,-6295
0,F,0,81000.0,431280.0,23526.0,Working,Secondary / secondary special,-15012,-254
0,F,1,337500.0,492543.0,52263.0,Working,Secondary / secondary special,-16428,-723
0,F,0,135000.0,1288350.0,37800.0,Working,Secondary / secondary special,-17368,-2669
0,M,1,202500.0,500211.0,54000.0,Commercial associate,Secondary / secondary special,-16333,-3930
1,F,0,193500.0,557005.5,23728.5,Pensioner,Secondary / secondary special,-21204,365243
0,F,0,270000.0,900000.0,45954.0,Commercial associate,Secondary / secondary special,-13990,-1204
1,F,0,76500.0,312768.0,24840.0,Working,Secondary / secondary special,-15402,-4614
0,M,0,135000.0,598500.0,38380.5,Working,Secondary / secondary special,-17955,-3008
0,F,0,180000.0,1125000.0,47664.0,Commercial associate,Secondary / secondary special,-18953,-3261
0,F,1,270000.0,657000.0,51907.5,Working,Secondary / secondary special,-14382,-2881
0,F,1,180000.0,1324422.0,36418.5,Commercial associate,Incomplete higher,-13067,-2833
0,M,0,202500.0,251280.0,15313.5,Working,Secondary / secondary special,-8582,-1200
0,F,0,83250.0,432220.5,30082.5,Pensioner,Secondary / secondary special,-18541,365243
0,M,0,247500.0,604152.0,29196.0,Pensioner,Secondary / secondary special,-22196,365243
0,F,0,90000.0,508495.5,22527.0,Pensioner,Secondary / secondary special,-21704,365243
0,F,0,337500.0,703728.0,28381.5,Working,Higher education,-9335,-609
0,M,0,180000.0,675000.0,27229.5,Working,Secondary / secondary special,-15750,-492
0,F,1,90000.0,188460.0,12879.0,Working,Secondary / secondary special,-12429,-5272
0,M,0,180000.0,765000.0,22495.5,Commercial associate,Secondary / secondary special,-21057,-8925
0,F,0,157500.0,1258650.0,53455.5,Working,Higher education,-23344,-2365
0,F,2,81000.0,1303812.0,35982.0,Working,Secondary / secondary special,-15959,-3542
0,F,0,180000.0,103558.5,6462.0,Pensioner,Secondary / secondary special,-23365,365243
0,F,0,112500.0,454500.0,21996.0,Working,Secondary / secondary special,-12583,-2930
0,F,0,103500.0,787131.0,26014.5,Working,Secondary / secondary special,-16458,-3696
0,M,0,270000.0,1735902.0,47736.0,Commercial associate,Higher education,-13998,-1496
0,M,0,112500.0,180000.0,9000.0,Commercial associate,Higher education,-13703,-46
0,M,1,225000.0,1125000.0,33025.5,State servant,Higher education,-12119,-3383
0,F,2,90000.0,278460.0,21676.5,Commercial associate,Secondary / secondary special,-10780,-1032
0,F,2,90000.0,269550.0,13891.5,Working,Secondary / secondary special,-10777,-2346
0,M,1,180000.0,1350000.0,46926.0,Working,Secondary / secondary special,-14428,-1939
0,M,0,202500.0,740704.5,40311.0,State servant,Higher education,-11996,-946
0,M,0,148500.0,1540305.0,44275.5,Working,Secondary / secondary special,-12661,-709
0,F,0,121500.0,1412032.5,38961.0,Pensioner,Secondary / secondary special,-22935,365243
0,F,0,112500.0,518562.0,21969.0,Commercial associate,Secondary / secondary special,-10560,-138
0,F,0,292500.0,760225.5,34483.5,State servant,Higher education,-13284,-2168
0,M,0,112500.0,315000.0,15750.0,Pensioner,Higher education,-20937,365243
0,M,1,135000.0,497520.0,39307.5,Working,Secondary / secondary special,-10992,-2607
0,F,1,315000.0,628114.5,26532.0,Commercial associate,Higher education,-16405,-216
0,F,0,99000.0,68256.0,4572.0,Working,Secondary / secondary special,-15618,-2877
0,F,0,72000.0,254700.0,25191.0,Working,Secondary / secondary special,-20343,-5157
0,F,1,108000.0,1118286.0,32827.5,Working,Secondary / secondary special,-14695,-1700
0,F,2,112500.0,278460.0,19930.5,State servant,Secondary / secondary special,-11990,-3453
0,M,1,157500.0,942300.0,30397.5,Working,Secondary / secondary special,-15598,-3040
0,F,1,135000.0,244584.0,19453.5,Working,Secondary / secondary special,-12431,-1037
0,M,0,225000.0,450000.0,16294.5,Working,Secondary / secondary special,-16061,-254
